   1.9970 + 0.0000i   1.5708 - 0.3789i
   1.9990 + 0.0000i   1.5708 - 0.3767i
   2.0010 + 0.0000i   1.5708 - 0.3744i
   2.0030 + 0.0000i   1.5708 - 0.3722i
   2.0050 + 0.0000i   1.5708 - 0.3700i
   2.0070 + 0.0000i   1.5708 - 0.3677i
   2.0090 + 0.0000i   1.5708 - 0.3655i
   2.0110 + 0.0000i   1.5708 - 0.3632i
   2.0130 + 0.0000i   1.5708 - 0.3610i
   2.0150 + 0.0000i   1.5708 - 0.3587i
   2.0170 + 0.0000i   1.5708 - 0.3564i
   2.0190 + 0.0000i   1.5708 - 0.3541i
   2.0210 + 0.0000i   1.5708 - 0.3518i
   2.0230 + 0.0000i   1.5708 - 0.3495i
   2.0250 + 0.0000i   1.5708 - 0.3472i
   2.0270 + 0.0000i   1.5708 - 0.3449i
   2.0290 + 0.0000i   1.5708 - 0.3426i
   2.0310 + 0.0000i   1.5708 - 0.3402i
   2.0330 + 0.0000i   1.5708 - 0.3379i
   2.0350 + 0.0000i   1.5708 - 0.3355i
