   1.20500 + 0.00000i  -1.57080 + 1.67046i
   1.20600 + 0.00000i  -1.57080 + 1.66304i
   1.20700 + 0.00000i  -1.57080 + 1.65564i
   1.20800 + 0.00000i  -1.57080 + 1.64825i
   1.20900 + 0.00000i  -1.57080 + 1.64087i
   1.21000 + 0.00000i  -1.57080 + 1.63351i
   1.21100 + 0.00000i  -1.57080 + 1.62615i
   1.21200 + 0.00000i  -1.57080 + 1.61881i
   1.21300 + 0.00000i  -1.57080 + 1.61148i
   1.21400 + 0.00000i  -1.57080 + 1.60416i
   1.21500 + 0.00000i  -1.57080 + 1.59685i
   1.21600 + 0.00000i  -1.57080 + 1.58954i
   1.21700 + 0.00000i  -1.57080 + 1.58225i
   1.21800 + 0.00000i  -1.57080 + 1.57497i
   1.21900 + 0.00000i  -1.57080 + 1.56769i
   1.22000 + 0.00000i  -1.57080 + 1.56043i
   1.22100 + 0.00000i  -1.57080 + 1.55317i
   1.22200 + 0.00000i  -1.57080 + 1.54592i
   1.22300 + 0.00000i  -1.57080 + 1.53868i
   1.22400 + 0.00000i  -1.57080 + 1.53145i
   1.22500 + 0.00000i  -1.57080 + 1.52422i
   1.22600 + 0.00000i  -1.57080 + 1.51700i
   1.22700 + 0.00000i  -1.57080 + 1.50978i
   1.22800 + 0.00000i  -1.57080 + 1.50258i
   1.22900 + 0.00000i  -1.57080 + 1.49537i
   1.23000 + 0.00000i  -1.57080 + 1.48818i
   1.23100 + 0.00000i  -1.57080 + 1.48099i
   1.23200 + 0.00000i  -1.57080 + 1.47380i
   1.23300 + 0.00000i  -1.57080 + 1.46662i
   1.23400 + 0.00000i  -1.57080 + 1.45944i
   1.23500 + 0.00000i  -1.57080 + 1.45226i
   1.23600 + 0.00000i  -1.57080 + 1.44509i
   1.23700 + 0.00000i  -1.57080 + 1.43792i
   1.23800 + 0.00000i  -1.57080 + 1.43076i
   1.23900 + 0.00000i  -1.57080 + 1.42360i
   1.24000 + 0.00000i  -1.57080 + 1.41644i
   1.24100 + 0.00000i  -1.57080 + 1.40928i
   1.24200 + 0.00000i  -1.57080 + 1.40212i
   1.24300 + 0.00000i  -1.57080 + 1.39497i
   1.24400 + 0.00000i  -1.57080 + 1.38781i
   1.24500 + 0.00000i  -1.57080 + 1.38066i
   1.24600 + 0.00000i  -1.57080 + 1.37350i
   1.24700 + 0.00000i  -1.57080 + 1.36635i
   1.24800 + 0.00000i  -1.57080 + 1.35919i
   1.24900 + 0.00000i  -1.57080 + 1.35204i
   1.25000 + 0.00000i  -1.57080 + 1.34488i
   1.25100 + 0.00000i  -1.57080 + 1.33772i
   1.25200 + 0.00000i  -1.57080 + 1.33056i
   1.25300 + 0.00000i  -1.57080 + 1.32340i
   1.25400 + 0.00000i  -1.57080 + 1.31624i
   1.25500 + 0.00000i  -1.57080 + 1.30907i
   1.25600 + 0.00000i  -1.57080 + 1.30190i
   1.25700 + 0.00000i  -1.57080 + 1.29472i
   1.25800 + 0.00000i  -1.57080 + 1.28754i
   1.25900 + 0.00000i  -1.57080 + 1.28036i
   1.26000 + 0.00000i  -1.57080 + 1.27317i
   1.26100 + 0.00000i  -1.57080 + 1.26598i
   1.26200 + 0.00000i  -1.57080 + 1.25878i
   1.26300 + 0.00000i  -1.57080 + 1.25157i
   1.26400 + 0.00000i  -1.57080 + 1.24436i
   1.26500 + 0.00000i  -1.57080 + 1.23714i
   1.26600 + 0.00000i  -1.57080 + 1.22992i
   1.26700 + 0.00000i  -1.57080 + 1.22268i
   1.26800 + 0.00000i  -1.57080 + 1.21544i
   1.26900 + 0.00000i  -1.57080 + 1.20819i
   1.27000 + 0.00000i  -1.57080 + 1.20093i
   1.27100 + 0.00000i  -1.57080 + 1.19366i
   1.27200 + 0.00000i  -1.57080 + 1.18638i
   1.27300 + 0.00000i  -1.57080 + 1.17909i
   1.27400 + 0.00000i  -1.57080 + 1.17179i
   1.27500 + 0.00000i  -1.57080 + 1.16448i
   1.27600 + 0.00000i  -1.57080 + 1.15716i
   1.27700 + 0.00000i  -1.57080 + 1.14982i
   1.27800 + 0.00000i  -1.57080 + 1.14247i
   1.27900 + 0.00000i  -1.57080 + 1.13511i
   1.28000 + 0.00000i  -1.57080 + 1.12773i
   1.28100 + 0.00000i  -1.57080 + 1.12034i
   1.28200 + 0.00000i  -1.57080 + 1.11293i
   1.28300 + 0.00000i  -1.57080 + 1.10551i
   1.28400 + 0.00000i  -1.57080 + 1.09807i
   1.28500 + 0.00000i  -1.57080 + 1.09062i
   1.28600 + 0.00000i  -1.57080 + 1.08314i
   1.28700 + 0.00000i  -1.57080 + 1.07565i
   1.28800 + 0.00000i  -1.57080 + 1.06814i
   1.28900 + 0.00000i  -1.57080 + 1.06061i
   1.29000 + 0.00000i  -1.57080 + 1.05306i
   1.29100 + 0.00000i  -1.57080 + 1.04549i
   1.29200 + 0.00000i  -1.57080 + 1.03790i
   1.29300 + 0.00000i  -1.57080 + 1.03028i
   1.29400 + 0.00000i  -1.57080 + 1.02264i
   1.29500 + 0.00000i  -1.57080 + 1.01498i
   1.29600 + 0.00000i  -1.57080 + 1.00730i
   1.29700 + 0.00000i  -1.57080 + 0.99958i
   1.29800 + 0.00000i  -1.57080 + 0.99185i
   1.29900 + 0.00000i  -1.57080 + 0.98408i
   1.30000 + 0.00000i  -1.57080 + 0.97629i
   1.30100 + 0.00000i  -1.57080 + 0.96846i
   1.30200 + 0.00000i  -1.57080 + 0.96061i
   1.30300 + 0.00000i  -1.57080 + 0.95273i
   1.30400 + 0.00000i  -1.57080 + 0.94481i
   1.30500 + 0.00000i  -1.57080 + 0.93686i
   1.30600 + 0.00000i  -1.57080 + 0.92888i
   1.30700 + 0.00000i  -1.57080 + 0.92086i
   1.30800 + 0.00000i  -1.57080 + 0.91280i
   1.30900 + 0.00000i  -1.57080 + 0.90471i
   1.31000 + 0.00000i  -1.57080 + 0.89658i
   1.31100 + 0.00000i  -1.57080 + 0.88840i
   1.31200 + 0.00000i  -1.57080 + 0.88019i
   1.31300 + 0.00000i  -1.57080 + 0.87193i
   1.31400 + 0.00000i  -1.57080 + 0.86363i
   1.31500 + 0.00000i  -1.57080 + 0.85528i
   1.31600 + 0.00000i  -1.57080 + 0.84689i
   1.31700 + 0.00000i  -1.57080 + 0.83844i
   1.31800 + 0.00000i  -1.57080 + 0.82994i
   1.31900 + 0.00000i  -1.57080 + 0.82139i
   1.32000 + 0.00000i  -1.57080 + 0.81279i
   1.32100 + 0.00000i  -1.57080 + 0.80412i
   1.32200 + 0.00000i  -1.57080 + 0.79540i
   1.32300 + 0.00000i  -1.57080 + 0.78662i
   1.32400 + 0.00000i  -1.57080 + 0.77777i
   1.32500 + 0.00000i  -1.57080 + 0.76886i
   1.32600 + 0.00000i  -1.57080 + 0.75988i
   1.32700 + 0.00000i  -1.57080 + 0.75082i
   1.32800 + 0.00000i  -1.57080 + 0.74170i
   1.32900 + 0.00000i  -1.57080 + 0.73249i
   1.33000 + 0.00000i  -1.57080 + 0.72321i
   1.33100 + 0.00000i  -1.57080 + 0.71384i
   1.33200 + 0.00000i  -1.57080 + 0.70438i
   1.33300 + 0.00000i  -1.57080 + 0.69483i
   1.33400 + 0.00000i  -1.57080 + 0.68519i
   1.33500 + 0.00000i  -1.57080 + 0.67545i
   1.33600 + 0.00000i  -1.57080 + 0.66560i
   1.33700 + 0.00000i  -1.57080 + 0.65564i
   1.33800 + 0.00000i  -1.57080 + 0.64557i
   1.33900 + 0.00000i  -1.57080 + 0.63537i
   1.34000 + 0.00000i  -1.57080 + 0.62505i
   1.34100 + 0.00000i  -1.57080 + 0.61460i
   1.34200 + 0.00000i  -1.57080 + 0.60401i
   1.34300 + 0.00000i  -1.57080 + 0.59327i
   1.34400 + 0.00000i  -1.57080 + 0.58237i
   1.34500 + 0.00000i  -1.57080 + 0.57131i
   1.34600 + 0.00000i  -1.57080 + 0.56007i
   1.34700 + 0.00000i  -1.57080 + 0.54864i
   1.34800 + 0.00000i  -1.57080 + 0.53701i
   1.34900 + 0.00000i  -1.57080 + 0.52517i
   1.35000 + 0.00000i  -1.57080 + 0.51310i
   1.35100 + 0.00000i  -1.57080 + 0.50079i
   1.35200 + 0.00000i  -1.57080 + 0.48821i
   1.35300 + 0.00000i  -1.57080 + 0.47535i
   1.35400 + 0.00000i  -1.57080 + 0.46218i
   1.35500 + 0.00000i  -1.57080 + 0.44868i
   1.35600 + 0.00000i  -1.57080 + 0.43480i
   1.35700 + 0.00000i  -1.57080 + 0.42052i
   1.35800 + 0.00000i  -1.57080 + 0.40579i
   1.35900 + 0.00000i  -1.57080 + 0.39057i
   1.36000 + 0.00000i  -1.57080 + 0.37478i
   1.36100 + 0.00000i  -1.57080 + 0.35836i
   1.36200 + 0.00000i  -1.57080 + 0.34121i
   1.36300 + 0.00000i  -1.57080 + 0.32322i
   1.36400 + 0.00000i  -1.57080 + 0.30424i
   1.36500 + 0.00000i  -1.57080 + 0.28406i
   1.36600 + 0.00000i  -1.57080 + 0.26242i
   1.36700 + 0.00000i  -1.57080 + 0.23891i
   1.36800 + 0.00000i  -1.57080 + 0.21292i
   1.36900 + 0.00000i  -1.57080 + 0.18339i
   1.37000 + 0.00000i  -1.57080 + 0.14822i
   1.37100 + 0.00000i  -1.57080 + 0.10173i
   1.37200 + 0.00000i  -1.53569 + 0.00000i
   1.37300 + 0.00000i  -1.45778 + 0.00000i
   1.37400 + 0.00000i  -1.41499 + 0.00000i
   1.37500 + 0.00000i  -1.38176 + 0.00000i
   1.37600 + 0.00000i  -1.35364 + 0.00000i
   1.37700 + 0.00000i  -1.32885 + 0.00000i
   1.37800 + 0.00000i  -1.30644 + 0.00000i
   1.37900 + 0.00000i  -1.28586 + 0.00000i
   1.38000 + 0.00000i  -1.26673 + 0.00000i
   1.38100 + 0.00000i  -1.24880 + 0.00000i
   1.38200 + 0.00000i  -1.23186 + 0.00000i
   1.38300 + 0.00000i  -1.21579 + 0.00000i
   1.38400 + 0.00000i  -1.20047 + 0.00000i
   1.38500 + 0.00000i  -1.18580 + 0.00000i
   1.38600 + 0.00000i  -1.17172 + 0.00000i
   1.38700 + 0.00000i  -1.15817 + 0.00000i
   1.38800 + 0.00000i  -1.14508 + 0.00000i
   1.38900 + 0.00000i  -1.13244 + 0.00000i
   1.39000 + 0.00000i  -1.12018 + 0.00000i
   1.39100 + 0.00000i  -1.10829 + 0.00000i
   1.39200 + 0.00000i  -1.09674 + 0.00000i
   1.39300 + 0.00000i  -1.08549 + 0.00000i
   1.39400 + 0.00000i  -1.07454 + 0.00000i
   1.39500 + 0.00000i  -1.06386 + 0.00000i
   1.39600 + 0.00000i  -1.05343 + 0.00000i
   1.39700 + 0.00000i  -1.04324 + 0.00000i
   1.39800 + 0.00000i  -1.03328 + 0.00000i
   1.39900 + 0.00000i  -1.02353 + 0.00000i
   1.40000 + 0.00000i  -1.01398 + 0.00000i
   1.40100 + 0.00000i  -1.00463 + 0.00000i
   1.40200 + 0.00000i  -0.99545 + 0.00000i
   1.40300 + 0.00000i  -0.98645 + 0.00000i
   1.40400 + 0.00000i  -0.97761 + 0.00000i
   1.40500 + 0.00000i  -0.96893 + 0.00000i
   1.40600 + 0.00000i  -0.96040 + 0.00000i
   1.40700 + 0.00000i  -0.95202 + 0.00000i
   1.40800 + 0.00000i  -0.94377 + 0.00000i
   1.40900 + 0.00000i  -0.93565 + 0.00000i
   1.41000 + 0.00000i  -0.92767 + 0.00000i
   1.41100 + 0.00000i  -0.91980 + 0.00000i
   1.41200 + 0.00000i  -0.91206 + 0.00000i
   1.41300 + 0.00000i  -0.90443 + 0.00000i
   1.41400 + 0.00000i  -0.89690 + 0.00000i
   1.41500 + 0.00000i  -0.88949 + 0.00000i
   1.41600 + 0.00000i  -0.88217 + 0.00000i
   1.41700 + 0.00000i  -0.87496 + 0.00000i
   1.41800 + 0.00000i  -0.86784 + 0.00000i
